Frequency of observations in the selected location(s).:
Number of taxa:	103

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Pacific Reef-Heron (Egretta sacra)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Little Egret (Egretta garzetta)	0.5	0.8	0.5	0.5	0.8	0.5	0.5	0.5	0.8	0.8	0.5	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.35	0.35	0.8	0.25	0.35	0.25	0.15	0.8	0.35	0.5	0.8	0.5	0.5	0.5	0.25	0.5	0.8	0.5	0.5	0.5	0.5	0.8	0.5	0.5	0.15	0.5	0.5	0.25	0.5	0.35	
Little Heron (Butorides atricapilla)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eastern Cattle-Egret (Ardea coromanda)	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Great Egret (Ardea alba)	0.15	0.25	0.35	0.25	0.35	0.25	0.25	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.35	0.25	0.15	0.15	0.075	0	0.0015	0.15	0.15	0.5	0	0	0	0.35	0.0015	0.25	0	0.25	0	0.15	0.15	0.075	0.25	0.25	0.15	0.075	0.03	0.075	0	0.15	0.25	
Medium Egret (Ardea intermedia)	0	0.075	0	0	0	0	0	0	0	0	0.075	0.075	0.03	0	0	0.0015	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.15	0	0.075	0.03	0	0	0	0	0	0.0015	0	0	
Gray Heron (Ardea cinerea)	0.5	0.5	0.5	0.8	0.8	0.5	0.5	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.5	0.5	0.25	0.5	0.15	0.25	0.25	0	0.5	0.5	0	0.35	0.5	0.15	0.5	0.8	0.15	0.5	0.35	0.25	0.15	0.35	0.15	0.25	0.35	0.15	0.35	0.8	0.5	
Osprey (Pandion haliaetus)	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Sparrowhawk (Tachyspiza gularis)	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Sparrowhawk (Accipiter nisus)	0	0	0	0	0.03	0	0.03	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.075	0.075	0	0.03	
Eastern Marsh Harrier (Circus spilonotus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	
Black Kite (Milvus migrans)	0.15	0.15	0.15	0.15	0	0.03	0.075	0.075	0.075	0.075	0.15	0.03	0	0	0.0015	0	0.075	0	0	0.075	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.03	0.075	0.075	0.03	0.075	0	0	0.15	
Eastern Buzzard (Buteo japonicus)	0.0015	0.15	0	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0.075	0	0	0	0	0	
Common Kingfisher (Alcedo atthis)	0.5	0.5	0.35	0.5	0.35	0.25	0.35	0.35	0.5	0.25	0.35	0.15	0.15	0.03	0.25	0.15	0	0.075	0.075	0.15	0	0.075	0.15	0.075	0	0	0	0	0	0	0.15	0.15	0.075	0	0.5	0	0	0	0.075	0.03	0.15	0.15	0.25	0.15	0.15	0.25	0.25	0.25	
Japanese Pygmy Woodpecker (Yungipicus kizuki)	0	0.15	0.15	0.075	0.03	0	0.075	0	0.075	0.03	0.03	0.075	0	0	0	0	0	0	0	0	0	0.0015	0.15	0.075	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.075	0.0015	0	0	0.0015	0	0.075	0.075	0	
Great Spotted Woodpecker (Dendrocopos major)	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Kestrel (Falco tinnunculus)	0	0	0	0	0.03	0.03	0	0	0	0.03	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0.03	
Rose-ringed Parakeet (Psittacula krameri)	0.15	0.25	0.075	0.075	0.075	0.03	0.03	0.0015	0.15	0.075	0	0.03	0.03	0.03	0.25	0.075	0.075	0.075	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.075	0.075	0.15	0.0015	0.075	0.0015	0.03	
Bull-headed Shrike (Lanius bucephalus)	0.0015	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.075	0	0.03	0.03	0	0	0	0	0	0	0.03	
Azure-winged Magpie (Cyanopica cyanus)	0.03	0.075	0.15	0.075	0.03	0.03	0.075	0.03	0.03	0	0	0	0.0015	0.075	0	0.03	0.075	0.0015	0	0.075	0	0.075	0	0	0.075	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0.075	0.03	0.03	0	0.0015	0	0	0	0.075	0.075	
Carrion Crow (Corvus corone)	0.15	0.25	0.25	0.25	0.25	0.15	0.25	0.15	0.15	0.15	0.25	0.15	0.15	0.25	0.15	0.15	0.25	0.15	0.25	0.35	0.25	0.25	0.35	0.075	0	0	0.15	0.25	0	0	0.15	0.25	0	0.5	0	0.15	0.0015	0.075	0.075	0.25	0.075	0.15	0.075	0.15	0.15	0.15	0.35	0.075	
Large-billed Crow (Corvus macrorhynchos)	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.5	0.5	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.5	0.25	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.35	0.5	0.5	0.35	0.8	0.5	0.8	0.5	0.8	0.35	
Coal Tit (Periparus ater)	0	0	0	0	0.03	0	0	0.03	0	0.0015	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.15	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Varied Tit (Sittiparus varius)	0.03	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.075	0	0.075	0.03	
Asian Tit (Parus cinereus)	0.5	0.8	0.5	0.35	0.8	0.5	0.5	0.35	0.5	0.5	0.5	0.35	0.15	0.35	0.5	0.35	0.075	0.25	0.35	0.5	0.35	0.5	0.5	0.35	0.35	0.15	0.15	0.25	0.25	0	0.35	0.5	0.5	0.5	0.25	0.25	0.5	0.35	0.5	0.35	0.25	0.35	0.35	0.25	0.25	0.15	0.8	0.25	
Zitting Cisticola (Cisticola juncidis)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
